,ID,CentroidFlag,TAZID,On,Off
748,429,,,,
749,2355,,,,
750,2354,,,,
751,1907,,,,
752,430,,,,
753,1920,,,,
754,1918,,,,
755,1921,,,,
756,2360,,,,
757,448,,,,
758,449,,,,
759,447,,,,
760,443,,,,
761,1474,,,,
762,784,,,174.6600341796875,209.1026153564453
763,785,,,,
764,1155,,,,
765,793,,,,
766,792,,,,
767,786,,,,
768,1781,,,,
769,1784,,,,
770,1787,,,,
771,1788,,,,
772,1786,,,,
773,1777,,,,
774,1783,,,,
775,1790,,,,
776,1775,,,,
777,1785,,,,
778,1776,,,,
779,794,,,,
780,1593,,,,
781,791,,,,
782,790,,,,
783,1739,,,,
784,1772,,,,
785,1773,,,,
786,2388,,,,
787,9,,226,,
788,1737,,,,
789,1108,,,,
790,1109,,,,
791,1111,,,,
792,1112,,,,
793,1072,,,,
794,1071,,,,
795,1697,,,,
796,1699,,,,
797,1698,,,,
798,1700,,,,
799,1701,,,,
800,1070,,,,
801,1691,,,,
802,1600,,,,
803,1967,,,,
804,1583,,,,
805,1778,,,,
806,1968,,,,
807,446,,,,
808,444,,,,
809,445,,,,
810,1475,,,,
811,1917,,,,
812,1919,,,,
813,2362,,,,
814,1904,,,,
815,372,1,428,,
816,451,,,,
817,483,,,,
818,484,,,,
819,738,,,,
820,739,,,427.50531005859375,395.1912536621094
821,737,,,,
822,1270,,,,
823,1973,,,,
824,1586,,,,
825,1969,,,,
826,1971,,,,
827,1966,,,,
828,1972,,,,
829,2008,,,,
830,2009,,,,
831,1156,,,140.56410217285156,174.92164611816406
832,782,,,,
833,1279,,,546.4374389648438,467.7242431640625
834,783,,,,
835,450,,,,
836,551,,,,
837,552,,,,
838,440,,,,
839,1912,,,,
840,2344,,,,
841,432,,,,
842,2347,,,,
843,1470,,,,
844,487,,,,
845,1181,,,,
846,1176,,,,
847,1177,,,,
848,1175,,,,
849,1746,,,,
850,1178,,,,
851,1143,,,,
852,1744,,,,
853,1145,,,,
854,1147,,,,
855,1798,,,,
856,1801,,,,
857,1148,,,,
858,1149,,,,
859,1144,,,,
860,216,,,,
861,1152,,,,
862,1151,,,,
863,843,,,,
864,845,,,,
865,891,,,,
866,844,,,,
867,892,,,,
868,571,,,,
869,572,,,,
870,570,,,273.305908203125,239.5205078125
871,568,,,,
872,567,,,269.8053894042969,98.72945404052734
873,628,,,,
874,629,,,,
875,624,,,14.516703605651855,32.99557113647461
876,2372,,,,
877,630,,,,
878,1963,,,,
879,48,,244,,
880,1903,,,,
881,1901,,,,
882,1965,,,,
883,1958,,,,
884,1955,,,,
885,1900,,,,
886,849,,,71.48029327392578,20.70867156982422
887,852,,,,
888,768,,,,
889,767,,,,
890,758,,,,
891,759,,,,
892,770,,,,
893,766,,,12.677689552307129,247.9624481201172
894,2573,,,,
895,1259,,,471.74005126953125,323.6083984375
896,765,,,,
897,809,,,,
898,834,,,,
899,28,,232,,
900,764,,,,
901,838,,,,
902,2374,,,,
903,2572,,,,
904,760,,,,
905,763,,,5.211231231689453,42.6238899230957
906,1343,,,,
907,761,,,313.5821533203125,284.46533203125
908,1936,,,,
909,1933,,,,
910,1934,,,,
911,1915,,,,
912,1928,,,,
913,1942,,,,
914,601,,,,
915,580,,,,
916,581,,,,
917,1336,,,,
918,603,,,,
919,632,,,117.1670150756836,212.5041961669922
920,633,,,,
921,2408,,,,
922,2571,1,98,,
923,1317,,,,
924,573,,,196.010009765625,183.7442626953125
925,1314,,,,
926,1315,,,,
927,575,,,,
928,576,,,,
929,2569,1,121,,
930,559,,,,
931,1275,,,,
932,574,,,54.127586364746094,50.63741683959961
933,2567,1,120,,
934,1285,,,865.6275634765625,718.4764404296875
935,565,,,,
936,1286,,,,
937,2279,,,,
938,2237,,,,
939,2568,,,,
940,2566,1,97,,
941,2284,,,,
942,2283,,,,
943,531,,,,
944,522,,,,
945,1473,,,,
946,717,,,396.20684814453125,176.50006103515625
947,521,,,,
948,520,,,,
949,518,,,,
950,532,,,,
951,2563,1,115,,
952,2565,,,,
953,720,,,,
954,2564,,,148.95257568359375,237.09561157226562
955,2561,1,95,,
956,2562,,,,
957,533,,,,
958,722,,,,
959,723,,,,
960,714,,,,
961,642,,,,
962,2403,,,,
963,2560,1,96,,
964,724,,,,
965,713,,,,
966,726,,,217.09046936035156,469.3790283203125
967,640,,,,
968,832,,,,
969,2365,,,,
970,833,,,0.0,55.60439682006836
971,835,,,,
972,2379,,,0.0,213.83895874023438
973,2559,1,94,,
974,729,,,554.9785766601562,261.3787841796875
975,836,,,,
976,727,,,,
977,850,,,,
978,851,,,,
979,709,,,199.0913543701172,178.07919311523438
980,2558,1,93,,
981,730,,,,
982,837,,,,
983,711,,,,
984,839,,,,
985,2557,1,92,,
986,2378,,,,
987,848,,,,
988,840,,,,
989,841,,,,
990,2556,1,68,,
991,675,,,,
992,676,,,328.1373596191406,265.596923828125
993,2114,,,,
994,2152,,,,
995,2151,,,,
996,708,,,,
997,654,,,,
998,2410,,,,
999,2555,1,59,,
1000,705,,,,
1001,2113,,,,
1002,2116,,,,
1003,2117,,,,
1004,2112,,,,
1005,2115,,,311.10986328125,380.00189208984375
1006,2095,,,,
1007,2098,,,,
1008,2118,,,,
1009,2111,,,,
1010,2109,,,,
