,ID,SPEED,FUNCL,LANES,AB_CAPACITY,BA_CAPACITY,COUNT,TIME,ALPHA,BETA,TYPE,IVTT,WalkTime,Existing,Connector
1533,2843,65.0,1,3,43200,43200,1500,0.5769715492541974,0.15,4.0,Highways,0.5769715492541974,9.375787675380707,1,
1534,2720,25.0,3,1,12800,12800,,1.773682737350464,2.0,4.0,SERVICE ROAD,1.7736827373504638,11.0855171084404,1,
1535,2718,25.0,3,1,12800,12800,,0.8550140619277955,2.0,4.0,SERVICE ROAD,0.8550140619277954,5.343837887048721,1,
1536,2620,65.0,1,3,43200,43200,13400,0.39353984135847825,0.15,4.0,Highways,0.39353984135847825,6.395022422075272,1,
1537,2612,65.0,1,3,43200,43200,13400,0.3064561898891742,0.15,4.0,Highways,0.3064561898891742,4.979913085699081,1,
1538,3354,20.0,0,1,79992,79992,,1.006432682275772,0.0,4.0,,0.20331973379308527,5.0321634113788605,,
1539,3353,20.0,0,1,79992,79992,,1.3438254296779633,0.0,4.0,,0.27147988478342694,6.719127148389816,,
1540,1818,25.0,6,1,10400,10400,2200,0.4609865427017212,2.0,4.0,,0.4609865427017212,2.8811658918857574,1,
1541,3352,20.0,0,1,79992,79992,,0.9517645239830018,0.0,4.0,,0.19227566141070743,4.7588226199150085,,
1542,1765,25.0,6,1,10400,10400,8640,0.5969134569168091,2.0,4.0,,0.5969134569168091,3.7307091057300568,1,
1543,3351,20.0,0,1,79992,79992,,1.5583341121673584,0.0,4.0,,0.3148149721550219,7.791670560836792,,
1544,1764,25.0,6,1,10400,10400,2100,0.4239094376564026,2.0,4.0,,0.4239094376564026,2.649433985352516,1,
1545,1766,25.0,6,1,10400,10400,1220,0.5568578481674193,2.0,4.0,,0.5568578481674195,3.4803615510463715,1,
1546,1763,25.0,6,1,10400,10400,6700,0.4638281464576721,2.0,4.0,,0.4638281464576721,2.8989259153604507,1,
1547,3350,20.0,0,1,79992,79992,,1.4920172989368439,0.0,4.0,,0.30141763614885736,7.460086494684219,,
1548,3349,20.0,0,1,79992,79992,,1.582870066165924,0.0,4.0,,0.3197717305385705,7.91435033082962,,
1549,3348,20.0,0,1,79992,79992,,1.6100513935089111,0.0,4.0,,0.325262907779578,8.050256967544556,,
1550,1798,25.0,6,1,10400,10400,1600,0.5770857810974122,2.0,4.0,,0.5770857810974122,3.6067861318588257,1,
1551,3347,20.0,0,1,79992,79992,,0.9667605757713317,0.0,4.0,,0.19530516682249127,4.833802878856659,,
1552,2332,65.0,1,3,43200,43200,39930,0.25790586838355434,0.15,4.0,Highways,0.25790586838355434,4.190970361232758,1,
1553,2336,65.0,1,3,43200,43200,26600,0.25860747924217814,0.15,4.0,Highways,0.2586074792421781,4.202371537685394,1,
1554,2339,35.0,2,1,12000,12000,,0.27691434962408884,3.0,4.0,RAMP,0.27691434962408884,2.4230005592107773,1,
1555,3346,20.0,0,1,79992,79992,,1.636913001537323,0.0,4.0,,0.33068949526006525,8.184565007686615,,
1556,2337,35.0,2,1,12000,12000,,0.26382402011326384,3.0,4.0,RAMP,0.26382402011326384,2.3084601759910583,1,
1557,1794,25.0,6,1,10400,10400,2500,0.2625649094581604,2.0,4.0,,0.2625649094581604,1.6410306841135025,1,
1558,3345,20.0,0,1,79992,79992,,1.0157751739025116,0.0,4.0,,0.20520710583889124,5.078875869512558,,
1559,1795,25.0,6,1,10400,10400,3470,0.6181418895721436,2.0,4.0,,0.6181418895721436,3.863386809825897,1,
1560,2325,65.0,1,3,43200,43200,26600,0.2811785019361056,0.15,4.0,Highways,0.2811785019361056,4.569150656461716,1,
1561,2338,65.0,1,3,43200,43200,39930,0.30125149396749645,0.15,4.0,Highways,0.30125149396749645,4.895336776971817,1,
1562,3344,20.0,0,1,79992,79992,,1.4667119085788727,0.0,4.0,,0.2963054360765399,7.333559542894363,,
1563,1695,25.0,6,1,10400,10400,6400,0.47539476156234745,2.0,4.0,,0.4753947615623474,2.9712172597646713,1,
1564,3343,20.0,0,1,79992,79992,,0.5509365946054459,0.0,4.0,,0.11130032214251431,2.7546829730272293,,
1565,1694,30.0,5,2,24000,24000,11320,0.28653615713119507,2.0,4.0,,0.28653615713119507,2.149021178483963,1,
1566,1693,30.0,5,2,24000,24000,5160,0.26490774750709534,2.0,4.0,,0.26490774750709534,1.986808106303215,1,
1567,3342,20.0,0,1,79992,79992,,0.5427035540342331,0.0,4.0,,0.10963708162307739,2.7135177701711655,,
1568,1692,30.0,5,2,24000,24000,11710,0.2714758515357971,2.0,4.0,,0.2714758515357971,2.0360688865184784,1,
1569,1691,30.0,5,2,24000,24000,13300,0.5010401010513306,2.0,4.0,,0.5010401010513306,3.7578007578849792,1,
1570,3341,20.0,0,1,79992,79992,,1.5732999444007874,0.0,4.0,,0.31783837260621967,7.866499722003937,,
1571,3340,30.0,4,2,26400,26400,2510,0.45774203538894653,1.5,4.0,,0.45774203538894653,3.433065265417099,1,
1572,3339,20.0,0,1,79992,79992,,1.4699890315532684,0.0,4.0,,0.29696748112187243,7.349945157766342,,
1573,1893,25.0,6,1,10400,10400,5410,0.9848605155944825,2.0,4.0,,0.9848605155944824,6.155378222465515,1,
1574,3338,20.0,0,1,79992,79992,,0.9120742678642273,0.0,4.0,,0.18425742785135904,4.5603713393211365,,
1575,2353,35.0,2,1,12000,12000,,0.1966662449496133,3.0,4.0,RAMP,0.1966662449496133,1.7208296433091164,1,
1576,3337,20.0,0,1,79992,79992,,0.45720621943473816,0.0,4.0,,0.09236489281509862,2.286031097173691,,
1577,1897,25.0,6,1,10400,10400,2010,1.1972074985504149,2.0,4.0,,1.197207498550415,7.482546865940094,1,
1578,1777,30.0,4,2,26400,26400,9840,0.28577864170074463,1.5,4.0,,0.28577864170074463,2.1433398127555847,1,
1579,1779,30.0,4,2,26400,26400,11450,0.438785195350647,1.5,4.0,,0.438785195350647,3.2908889651298523,1,
1580,3336,20.0,0,1,79992,79992,,1.4195495545864105,0.0,4.0,,0.28677768779523444,7.097747772932053,,
1581,1781,30.0,4,2,26400,26400,14100,0.13556835055351257,1.5,4.0,,0.13556835055351257,1.0167626291513443,1,
1582,3335,25.0,6,1,10400,10400,2520,0.9089152336120605,2.0,4.0,,0.9089152336120605,5.680720210075378,1,
1583,1778,25.0,6,1,10400,10400,9160,0.6596157789230347,2.0,4.0,,0.6596157789230347,4.122598618268967,1,
1584,3334,20.0,0,1,79992,79992,,1.410594642162323,0.0,4.0,,0.28496861457824707,7.052973210811615,,
1585,3333,20.0,0,1,79992,79992,,0.3956269919872284,0.0,4.0,,0.07992464484590472,1.978134959936142,,
1586,3332,25.0,6,1,10400,10400,,1.1764676570892334,2.0,4.0,,1.1764676570892334,7.352922856807709,,
1587,2352,65.0,1,3,43200,43200,39930,0.17828265061745277,0.15,4.0,Highways,0.17828265061745277,2.8970930725336075,1,
1588,2351,35.0,2,1,12000,12000,,0.16684203488486155,3.0,4.0,RAMP,0.16684203488486155,1.4598678052425385,1,
1589,2356,35.0,2,1,12000,12000,,0.178872036082404,3.0,4.0,RAMP,0.178872036082404,1.565130315721035,1,
1590,2354,35.0,2,1,12000,12000,,0.09813371300697327,3.0,4.0,RAMP,0.09813371300697327,0.8586699888110161,1,
1591,2355,30.0,4,2,26400,26400,14100,0.15153734385967255,1.5,4.0,,0.15153734385967255,1.136530078947544,1,
1592,2357,30.0,4,2,26400,26400,14100,0.060312144458293915,1.5,4.0,,0.060312144458293915,0.45234108343720436,1,
1593,2347,30.0,4,2,26400,26400,14100,0.05975623056292533,1.5,4.0,,0.05975623056292534,0.44817172922194004,1,
1594,1782,30.0,4,2,26400,26400,16390,0.06137154996395112,1.5,4.0,,0.06137154996395111,0.46028662472963333,1,
1595,2359,35.0,2,1,12000,12000,,0.10111445827143534,3.0,4.0,RAMP,0.10111445827143532,0.8847515098750591,1,
1596,2349,35.0,2,1,12000,12000,,0.05715023619788034,3.0,4.0,RAMP,0.05715023619788034,0.5000645667314529,1,
1597,2341,65.0,1,3,43200,43200,26600,0.4081818140470065,0.15,4.0,Highways,0.4081818140470065,6.632954478263855,1,
1598,2342,30.0,4,2,26400,26400,16390,0.09584935754537582,1.5,4.0,,0.09584935754537582,0.7188701815903187,1,
1599,2344,35.0,2,1,12000,12000,,0.08722809382847377,3.0,4.0,RAMP,0.08722809382847377,0.7632458209991455,1,
1600,2346,35.0,2,1,12000,12000,,0.09119772485324314,3.0,4.0,RAMP,0.09119772485324315,0.7979800924658775,1,
1601,2340,65.0,1,3,43200,43200,39930,0.19499563253842866,0.15,4.0,Highways,0.19499563253842866,3.168679028749466,1,
1602,2358,35.0,2,1,12000,12000,,0.3364019649369376,3.0,4.0,RAMP,0.3364019649369376,2.943517193198204,1,
1603,1903,25.0,6,1,10400,10400,2970,0.7555137634277344,2.0,4.0,,0.7555137634277344,4.72196102142334,1,
1604,1904,30.0,5,2,24000,24000,22100,0.3294821083545685,2.0,4.0,,0.3294821083545685,2.4711158126592636,1,
1605,1909,25.0,6,1,10400,10400,5350,0.2848146021366119,2.0,4.0,,0.2848146021366119,1.7800912633538246,1,
1606,3331,25.0,6,1,10400,10400,,1.2770556449890138,2.0,4.0,,1.2770556449890136,7.9815977811813354,,
1607,3330,30.0,5,2,24000,24000,2970,0.7096337676048279,2.0,4.0,,0.7096337676048279,5.322253257036209,1,
1608,3329,20.0,0,1,79992,79992,,1.5345284342765808,0.0,4.0,,0.31000574429829914,7.672642171382904,,
1609,3328,20.0,0,1,79992,79992,,1.4704530537128448,0.0,4.0,,0.29706122297229187,7.352265268564224,,
1610,3327,20.0,0,1,79992,79992,,1.580676555633545,0.0,4.0,,0.31932859709768585,7.903382778167725,,
1611,1867,25.0,6,1,10400,10400,3770,0.25277103781700133,2.0,4.0,,0.25277103781700133,1.5798189863562584,1,
1612,3326,20.0,0,1,79992,79992,,1.617944061756134,0.0,4.0,,0.3268573862133604,8.08972030878067,,
1613,3325,20.0,0,1,79992,79992,,1.6538540124893188,0.0,4.0,,0.3341119217150139,8.269270062446594,,
1614,1888,30.0,5,2,24000,24000,18700,0.2713470757007599,2.0,4.0,,0.2713470757007599,2.035103067755699,1,
1615,1887,30.0,5,2,24000,24000,23610,0.19881533086299896,2.0,4.0,,0.19881533086299896,1.4911149814724922,1,
1616,1886,30.0,5,2,24000,24000,24200,0.405214786529541,2.0,4.0,,0.405214786529541,3.0391108989715576,1,
1617,3324,20.0,0,1,79992,79992,,1.5156126022338867,0.0,4.0,,0.30618436408765387,7.578063011169434,,
1618,1864,30.0,5,2,24000,24000,25260,0.19027340412139893,2.0,4.0,,0.19027340412139893,1.427050530910492,1,
1619,1866,25.0,6,1,10400,10400,4320,0.4843546628952027,2.0,4.0,,0.4843546628952026,3.0272166430950165,1,
1620,1865,25.0,6,1,10400,10400,6900,0.004218851309269667,2.0,4.0,,0.004218851309269666,0.026367820682935417,1,
1621,3323,20.0,0,1,79992,79992,,1.5917842984199524,0.0,4.0,,0.32157258553938434,7.958921492099762,,
1622,2595,65.0,1,3,43200,43200,40000,0.4182847463167631,0.15,4.0,Highways,0.41828474631676305,6.7971271276474,1,
1623,2685,25.0,3,1,12800,12800,,0.8207598209381103,2.0,4.0,SERVICE ROAD,0.8207598209381104,5.12974888086319,1,
1624,2683,25.0,3,1,12800,12800,,0.8141871213912963,2.0,4.0,SERVICE ROAD,0.8141871213912963,5.088669508695602,1,
1625,3322,20.0,0,1,79992,79992,,1.787108302116394,0.0,4.0,,0.3610319802255342,8.93554151058197,,
1626,3321,20.0,0,1,79992,79992,,1.6572132110595703,0.0,4.0,,0.33479054768880206,8.286066055297852,,
1627,1863,25.0,6,1,10400,10400,6680,0.45747531652450557,2.0,4.0,,0.4574753165245056,2.85922072827816,1,
1628,1862,30.0,5,2,24000,24000,23690,0.2807437777519226,2.0,4.0,,0.2807437777519226,2.1055783331394196,1,
1629,3320,20.0,0,1,79992,79992,,2.1674668192863464,0.0,4.0,,0.43787208470431244,10.837334096431732,,
1630,2684,35.0,2,1,12000,12000,,0.11809320534978593,3.0,4.0,RAMP,0.11809320534978594,1.033315546810627,1,
1631,2589,35.0,2,1,12000,12000,,0.2048926821776799,3.0,4.0,RAMP,0.2048926821776799,1.792810969054699,1,
1632,2588,30.0,5,2,24000,24000,23750,0.5058674216270447,2.0,4.0,,0.5058674216270447,3.794005662202835,1,
1633,2682,25.0,3,1,12800,12800,,0.14709304869174958,2.0,4.0,SERVICE ROAD,0.14709304869174958,0.9193315543234348,1,
1634,2679,25.0,3,1,12800,12800,,0.39315844774246217,2.0,4.0,SERVICE ROAD,0.39315844774246217,2.4572402983903885,1,
1635,2578,65.0,1,3,43200,43200,40000,0.15619067045358512,0.15,4.0,Highways,0.15619067045358512,2.538098394870758,1,
1636,1827,25.0,6,1,10400,10400,6800,0.3984110355377197,2.0,4.0,,0.3984110355377197,2.4900689721107483,1,
1637,2657,35.0,2,1,12000,12000,,0.38571218081883024,3.0,4.0,RAMP,0.38571218081883024,3.3749815821647644,1,
1638,1841,25.0,6,1,10400,10400,4930,0.45496405363082887,2.0,4.0,,0.45496405363082887,2.8435253351926804,1,
1639,3319,20.0,0,1,79992,79992,,2.1979787349700928,0.0,4.0,,0.44403610807476623,10.989893674850464,,
1640,3318,20.0,0,1,79992,79992,,2.1155306696891785,0.0,4.0,,0.4273799332705411,10.577653348445892,,
